Title,Body,Labels,Milestone,Priority,Component,Phase,Risk,DependsOn
Agent: initialize scaffolding + /health,"Create agent skeleton, config loader, and /health endpoint (public).

Acceptance Criteria:
- Agent starts locally
- /health returns ok + timestamp
- Structured JSON logs","type:feature,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,Low,
Auth: /pair/start short-lived codes + rate limits,"Implement POST /pair/start; issues short-lived pairing code.

Acceptance Criteria:
- Codes expire <= 3 minutes
- Rate limited
- No secrets in responses

Depends on: Agent: initialize scaffolding + /health","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Agent: initialize scaffolding + /health
Auth: /pair/confirm token minting + rotation policy,"Implement POST /pair/confirm; exchanges code for access token.

Acceptance Criteria:
- Short-lived access tokens
- Optional refresh token
- Failed attempts logged (redacted)

Depends on: Auth: /pair/start short-lived codes + rate limits","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Auth: /pair/start short-lived codes + rate limits
Auth: middleware + public-route allowlist,"Enforce auth across endpoints; only /health and /pair/* public.

Acceptance Criteria:
- 401/403 consistent with OpenAPI
- Deny-by-default

Depends on: Auth: /pair/confirm token minting + rotation policy","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Auth: /pair/confirm token minting + rotation policy
System: /system/info (normalized),"Implement GET /system/info with OS/arch/cpu/mem/disk/hostname.

Acceptance Criteria:
- Works on macOS + Linux
- Safe defaults if unknown

Depends on: Auth: middleware + public-route allowlist","type:feature,component:agent,phase:1,priority:P1",Phase 1 — Foundations,P1,Agent,Phase 1,Medium,Auth: middleware + public-route allowlist
MoltBot: detect installed/version/config path,"Implement MoltBot detection and /moltbot/status response.

Acceptance Criteria:
- Returns installed/running/version/config_path
- Handles unknowns safely

Depends on: System: /system/info (normalized)","type:feature,component:agent,phase:1,priority:P1",Phase 1 — Foundations,P1,Agent,Phase 1,Medium,System: /system/info (normalized)
OpenAPI: lint + contract tests wired into CI,"Add OpenAPI lint and contract tests to CI to prevent drift.

Acceptance Criteria:
- CI fails on spec drift
- Contract tests run against agent","type:chore,component:docs,phase:1,priority:P1",Phase 1 — Foundations,P1,Docs,Phase 1,Low,
SDK: generate TS types/client from OpenAPI,"Generate TS client/types in packages/sdk.

Acceptance Criteria:
- Used by web + mobile
- Published internally

Depends on: OpenAPI: lint + contract tests wired into CI","type:feature,component:sdk,phase:1,priority:P2",Phase 1 — Foundations,P2,SDK,Phase 1,Low,OpenAPI: lint + contract tests wired into CI
Web: pairing screen + secure token storage,"Implement web pairing UI and secure token persistence.

Acceptance Criteria:
- Can call /system/info
- Token not exposed to JS (preferred)

Depends on: Auth: /pair/confirm token minting + rotation policy","type:feature,component:web,phase:1,priority:P1",Phase 1 — Foundations,P1,Web,Phase 1,Medium,Auth: /pair/confirm token minting + rotation policy
Web: overview dashboard v0,"Overview tiles: installed/running/gateway + last event snippet.

Acceptance Criteria:
- Updates fast
- Clear empty/error states

Depends on: MoltBot: detect installed/version/config path","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Low,MoltBot: detect installed/version/config path
Mobile: pairing + status v0,"Mobile pairing and basic status tiles.

Acceptance Criteria:
- Secure storage
- Pull-to-refresh
- Handles offline

Depends on: Auth: /pair/confirm token minting + rotation policy","type:feature,component:mobile,phase:1,priority:P2",Phase 1 — Foundations,P2,Mobile,Phase 1,Medium,Auth: /pair/confirm token minting + rotation policy
Docs: dev quickstart + local dev bootstrap,"Write quickstart and provide scripts/dev-bootstrap.sh template.

Acceptance Criteria:
- Fresh dev runs web+agent in <10 min","type:docs,component:docs,phase:1,priority:P2",Phase 1 — Foundations,P2,Docs,Phase 1,Low,
Design: component + motion baseline,"Establish component library baseline and motion guidelines.

Acceptance Criteria:
- Dark mode
- Reduced motion
- Performance budget","type:feature,component:docs,phase:1,priority:P2",Phase 1 — Foundations,P2,Docs,Phase 1,Medium,
Wizard: shared state machine spec,"Define wizard steps and persistence/resume behavior.

Acceptance Criteria:
- Deterministic transitions
- Resume after restart","type:feature,component:docs,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Docs,Phase 2,Medium,
Agent: job system for long-running tasks,"Implement job queue with progress events and cancellation.

Acceptance Criteria:
- Jobs persisted
- job_id returned
- Cancel supported","type:feature,component:agent,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Agent,Phase 2,High,
Install: /install/local brew (idempotent),"Implement brew install with version checks and idempotency.

Acceptance Criteria:
- Safe re-run
- Install logs captured
- Returns job_id

Depends on: Agent: job system for long-running tasks","type:feature,component:agent,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Agent,Phase 2,High,Agent: job system for long-running tasks
Install: /install/local npm (idempotent),"Implement npm install with version checks and idempotency.

Acceptance Criteria:
- Safe re-run
- Install logs captured
- Returns job_id

Depends on: Agent: job system for long-running tasks","type:feature,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,High,Agent: job system for long-running tasks
Install: /install/local docker (recommended),"Implement docker install path and compose generator.

Acceptance Criteria:
- Deterministic runtime
- Env-based config
- Returns job_id

Depends on: Agent: job system for long-running tasks","type:feature,component:agent,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Agent,Phase 2,High,Agent: job system for long-running tasks
Install: /install/ssh for VPS (key auth + host verification),"Implement VPS install via SSH with safe host-key handling.

Acceptance Criteria:
- Key auth supported
- Host key verification
- Secrets never logged","type:security,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,High,
Config: schema + validation engine,"Define config schema and validation rules (versioned).

Acceptance Criteria:
- Clear error paths
- Warnings separated","type:feature,component:agent,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Agent,Phase 2,High,
Config: /config/validate contract tests,"Add contract and edge-case tests for /config/validate.

Acceptance Criteria:
- Invalid configs rejected
- Clear errors

Depends on: Config: schema + validation engine","type:chore,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,Medium,Config: schema + validation engine
Config: /config/apply with pre-backup snapshot,"Implement apply with automatic backup (stub encryption here; full in Phase 4).

Acceptance Criteria:
- Backup per apply
- Audit event recorded

Depends on: Config: schema + validation engine","type:security,component:agent,phase:2,priority:P0",Phase 2 — Setup Wizard,P0,Agent,Phase 2,High,Config: schema + validation engine
Web: wizard screens (choose setup + prerequisites),"Implement first wizard screens and stepper UI.

Acceptance Criteria:
- Crisp state transitions
- Reduced motion supported

Depends on: Wizard: shared state machine spec","type:feature,component:web,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Web,Phase 2,Medium,Wizard: shared state machine spec
Web: install step UI w/ job progress + logs,"Install UI with progress updates and log snippets.

Acceptance Criteria:
- Retry on recoverable errors
- Shows actionable errors

Depends on: Agent: job system for long-running tasks","type:feature,component:web,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Web,Phase 2,Medium,Agent: job system for long-running tasks
Web: schema-driven config builder,"Generate config form from schema with inline validation.

Acceptance Criteria:
- Shows error paths
- Provides sensible defaults

Depends on: Config: schema + validation engine","type:feature,component:web,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Web,Phase 2,Medium,Config: schema + validation engine
Mobile: wizard minimal path (local-only),"Implement mobile wizard for local path.

Acceptance Criteria:
- Can install + config + validate","type:feature,component:mobile,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Mobile,Phase 2,Medium,
Testing: fresh-machine smoke scripts,"Provide repeatable smoke tests for Mac/Linux to validate wizard flow.

Acceptance Criteria:
- Repeatable
- Produces pass/fail summary","type:chore,component:infra,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Infra,Phase 2,Medium,
Docs: setup report artifact format,"Define redacted setup report format + examples.

Acceptance Criteria:
- Includes versions + steps
- Omits secrets","type:docs,component:docs,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Docs,Phase 2,Low,
Logs: redaction pipeline + tests,"Implement redaction of tokens/keys/emails/phones with unit tests.

Acceptance Criteria:
- Enabled by default
- Configurable patterns","type:security,component:agent,phase:3,priority:P0",Phase 3 — Monitoring,P0,Agent,Phase 3,High,
Logs: /logs/tail (paging + caps),"Return last N lines with caps and paging token.

Acceptance Criteria:
- Prevent memory blowups
- Redaction honored

Depends on: Logs: redaction pipeline + tests","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,Medium,Logs: redaction pipeline + tests
Logs: /logs/stream SSE (backpressure + reconnect),"SSE streaming with reconnect and backpressure controls.

Acceptance Criteria:
- Stable under reconnect
- Caps buffer

Depends on: Logs: redaction pipeline + tests","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,High,Logs: redaction pipeline + tests
Metrics: collector (cpu/mem/disk/uptime),"Collect host metrics cross-platform with low overhead.

Acceptance Criteria:
- Accurate snapshots
- Low CPU overhead","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,Medium,
Metrics: /metrics/current endpoint + contract tests,"Expose metrics via API and validate against OpenAPI.

Acceptance Criteria:
- Contract tests
- Handles missing fields

Depends on: Metrics: collector (cpu/mem/disk/uptime)","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,Low,Metrics: collector (cpu/mem/disk/uptime)
Alerts: rules engine + evaluation loop,"Implement rule evaluation and CRUD for common incidents.

Acceptance Criteria:
- Debounced
- Rule history stored","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,High,
Alerts: notifier channels (in-app + webhook),"Add notifier for in-app and webhook; retries and signing option.

Acceptance Criteria:
- Retries with backoff
- Optional HMAC signature

Depends on: Alerts: rules engine + evaluation loop","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,Medium,Alerts: rules engine + evaluation loop
Support: /support/bundle zip + manifest,"Generate redacted support bundle with manifest and checksums.

Acceptance Criteria:
- Completes <10s typical
- Manifest indicates redaction","type:feature,component:agent,phase:3,priority:P1",Phase 3 — Monitoring,P1,Agent,Phase 3,Medium,
Web: logs viewer (tail + live) with filters,"Implement logs viewer with search, filters, and smooth scrolling.

Acceptance Criteria:
- Copy blocks
- No UI jank

Depends on: Logs: /logs/stream SSE (backpressure + reconnect)","type:feature,component:web,phase:3,priority:P1",Phase 3 — Monitoring,P1,Web,Phase 3,Medium,Logs: /logs/stream SSE (backpressure + reconnect)
"Web: metrics dashboard (single charts, perf budget)","Add CPU/mem/disk charts; enforce perf budget and accessibility.

Acceptance Criteria:
- No heavy animation loops
- Accessible tooltips","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Low,
Web: alerts UI (rules + history),"CRUD alert rules and show alert history.

Acceptance Criteria:
- Clear severity
- De-noised presentation","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
Mobile: compact log tail + alerts list,"Mobile log tail with pagination and alerts list.

Acceptance Criteria:
- Pull-to-refresh
- Offline-friendly","type:feature,component:mobile,phase:3,priority:P3",Phase 3 — Monitoring,P3,Mobile,Phase 3,Low,
QA: synthetic incident simulations,"Create scripts to simulate gateway disconnect and crash loop.

Acceptance Criteria:
- Repeatable
- Produces report","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
Docs: support template + triage guide,"Document triage steps aligned to bundle contents; provide copy template.

Acceptance Criteria:
- One-page template
- Links to runbooks","type:docs,component:docs,phase:3,priority:P2",Phase 3 — Monitoring,P2,Docs,Phase 3,Low,
Ops: service manager abstraction (systemd/launchd/docker),"Implement platform adapters for start/stop/restart across managers.

Acceptance Criteria:
- Deterministic results
- Clear errors","type:feature,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,
Ops: /ops/action start/stop/restart w/ verification,"Wire /ops/action to service manager and verify health after action.

Acceptance Criteria:
- Returns ok only if verified
- Audit event emitted

Depends on: Ops: service manager abstraction (systemd/launchd/docker)","type:security,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,Ops: service manager abstraction (systemd/launchd/docker)
Audit: append-only action log (tamper-evident option),"Implement audit log store; optional hash-chain integrity.

Acceptance Criteria:
- Queryable
- Exportable
- No PII leakage","type:security,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,
Backups: encrypted snapshot format (AES-GCM) + key handling,"Define encrypted backup format and key management strategy.

Acceptance Criteria:
- Keys in OS keychain when possible
- Backups unusable without key","type:security,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,
Backups: create/restore actions w/ preflight,"Implement backup create/restore actions and preflight checks.

Acceptance Criteria:
- Restore validates config
- Restore audited

Depends on: Backups: encrypted snapshot format (AES-GCM) + key handling","type:feature,component:agent,phase:4,priority:P1",Phase 4 — Operations,P1,Agent,Phase 4,High,Backups: encrypted snapshot format (AES-GCM) + key handling
Security: confirmation token flow for destructive ops,"Require short-lived confirmation token for upgrade/restore/rollback.

Acceptance Criteria:
- Token expires quickly
- Refuse without token","type:security,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,
Upgrade: staged upgrade (preflight->backup->upgrade->verify),"Implement upgrade action with automatic rollback on verify failure.

Acceptance Criteria:
- Automatic rollback
- Full audit trail

Depends on: Backups: create/restore actions w/ preflight","type:security,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,Backups: create/restore actions w/ preflight
Rollback: one-click revert to last-known-good,"Rollback config/version where possible and verify after revert.

Acceptance Criteria:
- Verification required
- Audited

Depends on: Upgrade: staged upgrade (preflight->backup->upgrade->verify)","type:feature,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,Upgrade: staged upgrade (preflight->backup->upgrade->verify)
Web: operations center UI (controls + confirmations),"Operate section with action confirmations and impact preview.

Acceptance Criteria:
- Explicit confirmations
- Shows last backup id","type:feature,component:web,phase:4,priority:P1",Phase 4 — Operations,P1,Web,Phase 4,Medium,
Web: audit log viewer with filters + export,"Build audit viewer with filters by action/time/actor; export CSV.

Acceptance Criteria:
- Fast
- No sensitive data

Depends on: Audit: append-only action log (tamper-evident option)","type:feature,component:web,phase:4,priority:P2",Phase 4 — Operations,P2,Web,Phase 4,Low,Audit: append-only action log (tamper-evident option)
Mobile: quick actions (restart/export bundle) w/ confirmations,"Add mobile quick actions with confirm flows.

Acceptance Criteria:
- Consistent with web
- Confirmation tokens honored","type:feature,component:mobile,phase:4,priority:P3",Phase 4 — Operations,P3,Mobile,Phase 4,Low,
Infra: chaos tests for upgrade/rollback,"Automate failure injection and verify rollback restores LKG.

Acceptance Criteria:
- Repeatable
- Produces report","type:chore,component:infra,phase:4,priority:P2",Phase 4 — Operations,P2,Infra,Phase 4,High,
Docs: operator runbooks for ops actions,"Document backup/restore/upgrade/rollback procedures with verify steps.

Acceptance Criteria:
- Clear success criteria
- Escalation criteria","type:docs,component:docs,phase:4,priority:P2",Phase 4 — Operations,P2,Docs,Phase 4,Low,
Agent: secure storage abstraction (keychain/secretservice/DPAPI),"Implement secure storage adapter for secrets and keys.

Acceptance Criteria:
- Uses OS primitives
- Clear fallback behavior","type:security,component:agent,phase:4,priority:P1",Phase 4 — Operations,P1,Agent,Phase 4,High,
AI: context packet builder (strict redaction + size caps),"Build context packet assembler with deterministic schema and redaction.

Acceptance Criteria:
- Secret-safe
- Size-limited
- Deterministic schema","type:security,component:agent,phase:5,priority:P0",Phase 5 — AI Help,P0,Agent,Phase 5,High,
AI: runbook retrieval (offline) + citations,"Index and retrieve runbooks before AI answers; include citations.

Acceptance Criteria:
- Works offline
- Produces citations","type:feature,component:agent,phase:5,priority:P1",Phase 5 — AI Help,P1,Agent,Phase 5,Medium,
AI: response schema w/ evidence + confidence,"Define strict response schema including evidence and confidence.

Acceptance Criteria:
- Must cite evidence
- Refuse secret requests","type:security,component:agent,phase:5,priority:P0",Phase 5 — AI Help,P0,Agent,Phase 5,High,
AI: prompt injection defenses,"Separate instructions vs data; escape logs/config; add injection tests.

Acceptance Criteria:
- Injection tests pass
- No tool execution without approval","type:security,component:agent,phase:5,priority:P0",Phase 5 — AI Help,P0,Agent,Phase 5,High,
Web: AI chat UI + proposed actions cards,"Add AI chat and action cards requiring explicit approval.

Acceptance Criteria:
- Impact preview
- Confirmation required
- Audited","type:feature,component:web,phase:5,priority:P1",Phase 5 — AI Help,P1,Web,Phase 5,Medium,
Web: runbook search/viewer integrated with AI,"Add runbook UI and link-outs from AI responses.

Acceptance Criteria:
- Search works
- Versioned runbooks","type:feature,component:web,phase:5,priority:P2",Phase 5 — AI Help,P2,Web,Phase 5,Low,
Mobile: AI chat (compact) + proposed actions flow,"Implement mobile AI chat with simplified action cards.

Acceptance Criteria:
- Secure storage
- Consistent approval model","type:feature,component:mobile,phase:5,priority:P2",Phase 5 — AI Help,P2,Mobile,Phase 5,Low,
Ops: execute approved proposed actions with audit linkage,"Execute AI-proposed actions only after explicit user approval; link to proposal id.

Acceptance Criteria:
- Proposal hashed
- Action audited

Depends on: Security: confirmation token flow for destructive ops","type:security,component:agent,phase:5,priority:P1",Phase 5 — AI Help,P1,Agent,Phase 5,High,Security: confirmation token flow for destructive ops
Infra: adversarial prompt + secret exfil tests,"Create tests attempting secret exfiltration and unauthorized actions.

Acceptance Criteria:
- All denied
- Logged appropriately","type:security,component:infra,phase:5,priority:P1",Phase 5 — AI Help,P1,Infra,Phase 5,High,
Docs: AI safety policy + operator guidance,"Document AI limits, consent model, and data handling.

Acceptance Criteria:
- Enterprise acceptable
- Clear operator expectations","type:docs,component:docs,phase:5,priority:P2",Phase 5 — AI Help,P2,Docs,Phase 5,Low,
UX: micro-interaction pack for incidents + wizard,"Implement motion pack with reduced-motion fallback and perf budget.

Acceptance Criteria:
- Accessible
- No jank","type:feature,component:web,phase:5,priority:P2",Phase 5 — AI Help,P2,Web,Phase 5,Medium,
Fallback: AI-unavailable mode (runbooks + diagnostics diff),"When AI not available, show deterministic troubleshooting and diffs.

Acceptance Criteria:
- No dead ends
- Clear next steps","type:feature,component:web,phase:5,priority:P3",Phase 5 — AI Help,P3,Web,Phase 5,Low,
Remote: TLS enforcement + cert validation,"Block remote mode without TLS; validate cert and warn on weak config.

Acceptance Criteria:
- Remote mode cannot start without TLS
- Cert rotation supported","type:security,component:agent,phase:6,priority:P0",Phase 6 — Remote + Fleet,P0,Agent,Phase 6,High,
Remote: optional mTLS,"Implement optional mTLS for enterprise deployments.

Acceptance Criteria:
- Client cert enrollment
- Revocation plan","type:security,component:agent,phase:6,priority:P1",Phase 6 — Remote + Fleet,P1,Agent,Phase 6,High,
Fleet: node registry model + persistence,"Implement node registry supporting tags/environments.

Acceptance Criteria:
- Stable node IDs
- Persisted registry","type:feature,component:agent,phase:6,priority:P1",Phase 6 — Remote + Fleet,P1,Agent,Phase 6,Medium,
Web: fleet selector + global dashboard,"Add node selector and global health view.

Acceptance Criteria:
- Fast switching
- Last-used node persisted

Depends on: Fleet: node registry model + persistence","type:feature,component:web,phase:6,priority:P1",Phase 6 — Remote + Fleet,P1,Web,Phase 6,Medium,Fleet: node registry model + persistence
RBAC: Owner/Admin/Viewer roles + enforcement,"Implement RBAC and gate operations endpoints.

Acceptance Criteria:
- Viewer read-only
- Audit records actor","type:security,component:agent,phase:6,priority:P0",Phase 6 — Remote + Fleet,P0,Agent,Phase 6,High,
Web: RBAC user management UI,"Admin UI to manage users and roles.

Acceptance Criteria:
- Invites/disable
- Role changes audited

Depends on: RBAC: Owner/Admin/Viewer roles + enforcement","type:feature,component:web,phase:6,priority:P2",Phase 6 — Remote + Fleet,P2,Web,Phase 6,Medium,RBAC: Owner/Admin/Viewer roles + enforcement
Relay: E2EE design doc + prototype (optional),"Design and prototype relay that cannot read payloads.

Acceptance Criteria:
- Key exchange defined
- Threat model updated","type:security,component:infra,phase:6,priority:P2",Phase 6 — Remote + Fleet,P2,Infra,Phase 6,High,
Mobile: fleet node list + optional push for alerts,"Add fleet list and opt-in push channel for alerts.

Acceptance Criteria:
- Rate limited
- Opt-in","type:feature,component:mobile,phase:6,priority:P3",Phase 6 — Remote + Fleet,P3,Mobile,Phase 6,Medium,
Audit: cross-node aggregation + export,"Aggregate audit logs across nodes and export reports.

Acceptance Criteria:
- Filterable by node
- CSV export","type:feature,component:web,phase:6,priority:P2",Phase 6 — Remote + Fleet,P2,Web,Phase 6,Low,
Security: pen-test checklist + remediation workflow,"Create pen-test checklist and remediation tracking procedure.

Acceptance Criteria:
- Stored in docs
- Findings become issues","type:docs,component:docs,phase:6,priority:P2",Phase 6 — Remote + Fleet,P2,Docs,Phase 6,Medium,
Web: optional MFA (TOTP) for console sign-in,"Add optional MFA if auth backend exists.

Acceptance Criteria:
- Enrollment + recovery codes
- Documented","type:security,component:web,phase:6,priority:P2",Phase 6 — Remote + Fleet,P2,Web,Phase 6,High,
Packaging: macOS signed pkg + notarization,"Create macOS installer and signing/notarization workflow.

Acceptance Criteria:
- Reproducible build
- Verified signature","type:security,component:infra,phase:7,priority:P1",Phase 7 — Hardening,P1,Infra,Phase 7,High,
Packaging: Linux deb/rpm packages,"Create deb/rpm packaging and publishing workflows.

Acceptance Criteria:
- Clean install/uninstall
- Service management","type:feature,component:infra,phase:7,priority:P1",Phase 7 — Hardening,P1,Infra,Phase 7,High,
Auto-update: safe update channel + rollback,"Implement agent auto-update with staged rollout and rollback.

Acceptance Criteria:
- Can disable
- Rollback on failure","type:security,component:agent,phase:7,priority:P1",Phase 7 — Hardening,P1,Agent,Phase 7,High,
Observability: OpenTelemetry (optional exporters),"Instrument agent with OTel traces/metrics; default off.

Acceptance Criteria:
- Low overhead
- Documented","type:feature,component:agent,phase:7,priority:P2",Phase 7 — Hardening,P2,Agent,Phase 7,Medium,
Docs: enterprise security posture baseline (SOC2-ready checklist),"Document baseline controls for compliance readiness.

Acceptance Criteria:
- Access controls
- Logging
- IR
- Change mgmt","type:docs,component:docs,phase:7,priority:P1",Phase 7 — Hardening,P1,Docs,Phase 7,Medium,
IR: incident response plan + severity matrix + templates,"Create IR plan and templates (comms + postmortem).

Acceptance Criteria:
- Clear roles
- Clear steps","type:docs,component:docs,phase:7,priority:P1",Phase 7 — Hardening,P1,Docs,Phase 7,Low,
Infra: load tests (logs stream + metrics) and leak checks,"Load test streaming endpoints; verify no leaks and meets latency targets.

Acceptance Criteria:
- Concurrency stable
- Leak-free","type:chore,component:infra,phase:7,priority:P2",Phase 7 — Hardening,P2,Infra,Phase 7,High,
UX: accessibility audit + reduced-motion validation,"Audit web/mobile accessibility and remediate issues.

Acceptance Criteria:
- WCAG-aligned
- Reduced motion honored","type:chore,component:web,phase:7,priority:P2",Phase 7 — Hardening,P2,Web,Phase 7,Medium,
Release: SBOM generation + signed artifacts,"Generate SBOM and sign release artifacts.

Acceptance Criteria:
- SBOM published
- Signatures verifiable","type:security,component:infra,phase:7,priority:P1",Phase 7 — Hardening,P1,Infra,Phase 7,High,
Docs: ADR template + decision log,"Create ADR template and start decision log.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:docs,phase:1,priority:P2",Phase 1 — Foundations,P2,Docs,Phase 1,Medium,
Infra: pre-commit hooks (format/lint/secret scan),"Add pre-commit hooks to prevent drift and secret commits.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
SDK: typed error parsing helpers,"Add helpers for consistent API error parsing across clients.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:sdk,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,SDK,Phase 2,Medium,
Web: skeleton loading states + optimistic updates,"Implement consistent skeletons and optimistic UI patterns.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
Mobile: offline caching for status,"Cache last-known status/metrics for offline view.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:mobile,phase:3,priority:P2",Phase 3 — Monitoring,P2,Mobile,Phase 3,Medium,
Agent: config diff endpoint for apply preview,"Add endpoint that returns config diff before apply.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:agent,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Agent,Phase 2,Medium,
Security: runtime secret-leak detector for logs,"Detect likely secrets in logs and warn user.

Acceptance Criteria:
- Implemented
- Documented/tests added where relevant","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,Medium,
